Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM8028995,"HDT3_S#D1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028995/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028996,"HDT3_S#D1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028996/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028997,"HDT3_S#D1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028997/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028998,"R_S#B1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028998/suppl",,"Simon Archer","Mar 09, 2024"
GSM8028999,"R_S#B1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8028nnn/GSM8028999/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029000,"R_S#B1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029000/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029001,"R_S#B1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029001/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029002,"R_S#D1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029002/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029003,"R_S#D1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029003/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029004,"R_S#D1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029004/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029005,"R_S#D1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029005/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029006,"BDC1_S#F1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029006/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029007,"BDC1_S#F1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029007/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029008,"BDC1_S#E1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029008/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029009,"HDT1_S#F1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029009/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029010,"HDT1_S#F1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029010/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029011,"BDC1_S#F1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029011/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029012,"BDC1_S#F1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029012/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029013,"BDC1_S#F1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029013/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029014,"BDC1_S#E1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029014/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029015,"BDC1_S#E1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029015/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029016,"BDC1_S#E1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029016/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029017,"BDC1_S#E1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029017/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029018,"BDC2_S#F1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029018/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029019,"BDC2_S#F1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029019/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029020,"BDC2_S#E1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029020/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029021,"BDC2_S#E1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029021/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029022,"HDT2_S#F1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029022/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029023,"HDT2_S#E1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029023/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029024,"HDT2_S#E1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029024/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029025,"BDC2_S#F1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029025/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029026,"BDC2_S#F1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029026/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029027,"BDC2_S#F1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029027/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029028,"BDC2_S#E1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029028/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029029,"BDC2_S#E1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029029/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029030,"BDC2_S#E1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029030/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029031,"HDT1_S#F1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029031/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029032,"HDT1_S#F1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029032/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029033,"HDT1_S#F1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029033/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029034,"HDT1_S#F1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029034/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029035,"HDT1_S#E1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029035/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029036,"HDT1_S#E1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029036/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029037,"HDT1_S#E1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029037/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029038,"HDT2_S#F1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029038/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029039,"HDT2_S#F1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029039/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029040,"HDT2_S#E1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029040/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029041,"HDT2_S#E1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029041/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029042,"HDT2_S#E1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029042/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029043,"HDT2_S#E1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029043/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029044,"HDT3_S#F1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029044/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029045,"HDT3_S#F1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029045/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029046,"R_S#F1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029046/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029047,"HDT3_S#E1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029047/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029048,"HDT3_S#E1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029048/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029049,"R_S#E1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029049/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029050,"R_S#E1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029050/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029051,"HDT3_S#F1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029051/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029052,"HDT3_S#F1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029052/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029053,"HDT3_S#F1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029053/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029054,"HDT3_S#E1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029054/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029055,"HDT3_S#E1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029055/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029056,"HDT3_S#E1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029056/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029057,"R_S#F1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029057/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029058,"R_S#F1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029058/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029059,"R_S#E1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029059/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029060,"R_S#E1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029060/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029061,"R_S#E1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029061/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029062,"BDC1_S#G1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029062/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029063,"BDC1_S#G1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029063/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029064,"BDC1_S#H1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029064/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029065,"BDC1_S#H1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029065/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029066,"HDT1_S#G1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029066/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029067,"HDT1_S#G1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029067/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029068,"HDT1_S#H1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029068/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029069,"HDT1_S#H1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029069/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029070,"BDC1_S#G1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029070/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029071,"BDC1_S#G1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029071/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029072,"BDC1_S#G1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029072/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029073,"BDC1_S#G1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029073/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029074,"BDC1_S#H1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029074/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029075,"BDC1_S#H1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029075/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029076,"BDC1_S#H1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029076/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029077,"BDC1_S#H1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029077/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029078,"BDC2_S#G1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029078/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029079,"BDC2_S#G1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029079/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029080,"BDC2_S#H1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029080/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029081,"BDC2_S#H1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029081/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029082,"HDT2_S#G1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029082/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029083,"HDT2_S#G1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029083/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029084,"HDT2_S#H1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029084/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029085,"HDT2_S#H1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029085/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029086,"BDC2_S#G1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029086/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029087,"BDC2_S#G1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029087/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029088,"BDC2_S#G1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029088/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029089,"BDC2_S#H1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029089/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029090,"BDC2_S#H1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029090/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029091,"HDT1_S#G1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029091/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029092,"HDT1_S#G1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029092/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029093,"HDT1_S#G1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029093/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029094,"HDT1_S#G1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029094/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029095,"HDT1_S#H1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029095/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029096,"HDT1_S#H1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029096/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029097,"HDT1_S#H1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029097/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029098,"HDT1_S#H1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029098/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029099,"HDT2_S#G1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029099/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029100,"HDT2_S#G1_07:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029100/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029101,"HDT2_S#G1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029101/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029102,"HDT2_S#H1_23:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029102/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029103,"HDT2_S#H1_03:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029103/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029104,"HDT2_S#H1_11:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029104/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029105,"HDT3_S#G1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029105/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029106,"HDT3_S#G1_19:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029106/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029107,"R_S#G1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029107/suppl",,"Simon Archer","Mar 09, 2024"
GSM8029108,"HDT3_S#H1_15:00","RNA","Homo sapiens",1,GPL34112,GSE253864,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8029nnn/GSM8029108/suppl",,"Simon Archer","Mar 09, 2024"
